                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.73281,                 1.0286,                  1.233,                0.89012,                0.81373,                  0.925,                0.75166,                0.86742,                0.70482,                 1.4266,              0.0059163,              0.0059163,              0.0059163
                     35,                0.71467,                 1.0028,                 1.2128,                0.81461,                0.86776,                0.91819,                0.74413,                0.84134,                0.75433,                 1.3911,              0.0057925,              0.0057925,              0.0057925
                     36,                0.70571,                0.98181,                 1.2119,                0.90203,                 0.8554,                0.94723,                0.76242,                 0.8583,                0.61832,                 1.4022,              0.0056688,              0.0056688,              0.0056688
                     37,                0.71915,                0.96683,                 1.2057,                0.92799,                0.86075,                0.95704,                0.76401,                0.89987,                0.63553,                 1.4703,               0.005545,               0.005545,               0.005545
                     38,                0.71894,                0.95812,                   1.23,                0.91925,                0.83253,                0.92171,                0.72405,                0.96756,                0.70222,                  1.517,              0.0054212,              0.0054212,              0.0054212
                     39,                0.70666,                 0.9414,                 1.2036,                 0.8983,                0.86184,                0.94226,                0.73809,                 0.9599,                0.68662,                 1.5635,              0.0052975,              0.0052975,              0.0052975
                     40,                0.69786,                0.93293,                 1.2008,                0.91027,                0.85466,                0.94734,                0.78574,                 0.8068,                0.64536,                 1.3747,              0.0051737,              0.0051737,              0.0051737
                     41,                0.68662,                0.91193,                 1.2004,                0.88182,                 0.8714,                0.94576,                0.72089,                0.95913,                0.64392,                 1.5251,                0.00505,                0.00505,                0.00505
                     42,                0.68978,                0.88353,                 1.1987,                0.89162,                0.85763,                0.94392,                0.76143,                 0.8939,                 0.6499,                 1.4713,              0.0049263,              0.0049263,              0.0049263
                     43,                0.69043,                0.90432,                 1.1955,                0.90154,                0.80424,                0.92607,                0.74809,                0.90295,                0.71301,                 1.4931,              0.0048025,              0.0048025,              0.0048025
                     44,                0.67231,                 0.8813,                 1.1901,                0.94186,                0.79252,                0.93684,                 0.7728,                0.78907,                0.70168,                 1.3443,              0.0046788,              0.0046788,              0.0046788
                     45,                0.68294,                0.85937,                 1.1845,                0.85488,                0.87535,                 0.9351,                0.75064,                0.84747,                0.61042,                 1.3999,               0.004555,               0.004555,               0.004555
                     46,                0.67362,                0.85428,                 1.1833,                0.90439,                0.83235,                0.92515,                0.76095,                0.84851,                0.64792,                 1.4049,              0.0044313,              0.0044313,              0.0044313
                     47,                0.67375,                0.84935,                 1.1811,                0.90964,                0.87533,                0.94198,                0.75522,                0.92299,                0.65476,                  1.478,              0.0043075,              0.0043075,              0.0043075
                     48,                0.66155,                0.82638,                 1.1805,                0.91557,                0.86826,                0.95745,                0.79298,                0.80552,                0.57857,                 1.3699,              0.0041837,              0.0041837,              0.0041837
                     49,                0.66157,                0.82902,                 1.1772,                0.91523,                0.88326,                0.94764,                0.77229,                0.87325,                0.62013,                 1.4266,                0.00406,                0.00406,                0.00406
                     50,                0.66467,                0.82442,                 1.1864,                0.91586,                0.83942,                0.94782,                0.76273,                0.89262,                0.58967,                 1.4586,              0.0039362,              0.0039362,              0.0039362
                     51,                0.65754,                0.80683,                 1.1733,                0.88239,                0.89124,                0.95153,                0.77714,                0.81852,                0.59052,                 1.3818,              0.0038125,              0.0038125,              0.0038125
                     52,                0.66668,                0.80414,                 1.1797,                0.88222,                0.91517,                0.95871,                0.76501,                0.89402,                0.55356,                 1.4536,              0.0036888,              0.0036888,              0.0036888
                     53,                0.65308,                0.80663,                 1.1681,                0.88712,                0.87403,                0.94862,                0.76688,                0.88002,                0.59908,                 1.4599,               0.003565,               0.003565,               0.003565
                     54,                0.63952,                0.77413,                 1.1695,                0.94476,                0.84037,                0.95384,                0.77435,                0.85746,                0.60195,                 1.3908,              0.0034413,              0.0034413,              0.0034413
                     55,                0.64583,                  0.777,                 1.1695,                0.91649,                0.89105,                0.95969,                0.75717,                0.90931,                0.59083,                 1.4752,              0.0033175,              0.0033175,              0.0033175
                     56,                0.63688,                0.76237,                 1.1593,                0.89207,                0.84139,                0.93847,                0.76572,                0.86989,                0.65242,                 1.4446,              0.0031938,              0.0031938,              0.0031938
                     57,                0.61769,                0.73035,                 1.1469,                0.93483,                0.84675,                0.93444,                0.74356,                0.91208,                0.61364,                 1.5113,                0.00307,                0.00307,                0.00307
                     58,                0.62818,                0.73029,                 1.1516,                 0.8513,                0.87978,                0.93463,                0.74624,                0.88503,                0.62567,                 1.4334,              0.0029462,              0.0029462,              0.0029462
                     59,                0.63378,                0.75232,                 1.1634,                0.89454,                0.86593,                0.93983,                0.76993,                  0.868,                0.61682,                 1.4365,              0.0028225,              0.0028225,              0.0028225
                     60,                0.61605,                0.71768,                 1.1485,                0.90668,                0.84686,                0.92626,                0.74978,                0.84271,                0.57623,                 1.4283,              0.0026987,              0.0026987,              0.0026987
                     61,                0.61361,                0.70576,                 1.1374,                0.87447,                0.86246,                0.93208,                0.74916,                0.86458,                0.59371,                 1.4336,               0.002575,               0.002575,               0.002575
                     62,                0.60728,                0.71378,                 1.1489,                0.90129,                0.85819,                0.94053,                 0.7664,                0.85089,                0.56463,                 1.4054,              0.0024513,              0.0024513,              0.0024513
                     63,                0.59263,                0.67376,                 1.1242,                0.92632,                0.84928,                0.94005,                0.77413,                0.80889,                0.55955,                 1.3656,              0.0023275,              0.0023275,              0.0023275
                     64,                0.61038,                0.69438,                 1.1424,                0.90982,                0.86061,                0.93965,                0.75721,                0.90846,                0.54974,                 1.4907,              0.0022038,              0.0022038,              0.0022038
                     65,                0.59342,                0.67542,                 1.1266,                0.92304,                0.86114,                0.94503,                0.76474,                0.87709,                 0.5591,                 1.4388,                0.00208,                0.00208,                0.00208
                     66,                0.60161,                0.68241,                 1.1427,                0.92216,                0.87159,                0.94926,                0.78607,                0.83473,                0.52586,                 1.3833,              0.0019563,              0.0019563,              0.0019563
                     67,                0.60375,                0.69927,                  1.142,                0.92634,                0.87634,                0.94677,                0.77225,                 0.8486,                0.52265,                 1.4138,              0.0018325,              0.0018325,              0.0018325
                     68,                0.57998,                0.64625,                 1.1199,                0.88008,                0.89756,                0.94072,                0.75492,                0.86864,                 0.5488,                  1.446,              0.0017087,              0.0017087,              0.0017087
                     69,                0.58939,                0.64353,                 1.1244,                0.90173,                 0.8746,                0.93841,                0.77226,                0.83858,                0.54853,                 1.4032,               0.001585,               0.001585,               0.001585
                     70,                0.57844,                0.64324,                 1.1144,                0.91962,                0.87585,                0.94918,                0.77102,                0.85506,                0.53285,                 1.4448,              0.0014612,              0.0014612,              0.0014612
                     71,                0.58498,                 0.6419,                 1.1234,                0.91793,                0.84208,                0.95032,                0.77172,                0.84594,                0.52438,                 1.4289,              0.0013375,              0.0013375,              0.0013375
                     72,                0.57492,                0.64602,                 1.1157,                0.90356,                 0.9022,                0.94936,                0.78095,                0.83707,                0.51579,                 1.4054,              0.0012138,              0.0012138,              0.0012138
                     73,                0.56751,                0.61247,                 1.1075,                0.91476,                0.89442,                 0.9557,                0.78485,                0.84484,                 0.5101,                 1.4111,                0.00109,                0.00109,                0.00109
                     74,                 0.5535,                0.59792,                 1.1067,                0.91157,                0.89409,                0.95377,                0.78304,                0.83245,                0.49129,                 1.4007,             0.00096625,             0.00096625,             0.00096625
                     75,                0.55639,                0.59176,                 1.1096,                0.91019,                0.88636,                0.94902,                0.78571,                0.82336,                0.50969,                 1.3808,              0.0008425,              0.0008425,              0.0008425
                     76,                0.55182,                0.59943,                 1.1033,                0.92925,                0.87149,                0.95111,                0.77506,                0.84088,                0.49728,                 1.4148,             0.00071875,             0.00071875,             0.00071875
                     77,                0.54784,                 0.5903,                 1.1053,                0.88368,                0.91103,                 0.9562,                0.79549,                0.80654,                0.48581,                 1.3766,               0.000595,               0.000595,               0.000595
                     78,                0.54751,                0.57574,                 1.1041,                0.94341,                0.86696,                0.95568,                 0.7873,                 0.8279,                0.48893,                 1.4069,             0.00047125,             0.00047125,             0.00047125
                     79,                0.54638,                 0.5869,                 1.1051,                 0.9382,                0.85475,                  0.954,                0.78705,                0.82201,                0.49119,                 1.4004,              0.0003475,              0.0003475,              0.0003475
